Google Scholar Reference,Link,Title,In Analysis?,Category
"Wang, Y., Chen, X., Ge, T., Bao, C., Sedlmair, M., Fu, C.W., Deussen, O. and Chen, B., 2018. Optimizing color assignment for perception of class separability in multiclass scatterplots. IEEE transactions on visualization and computer graphics, 25(1), pp.820-829.",https://ieeexplore.ieee.org/abstract/document/8440853/,Optimizing Color Assignment for Perception of Class Separability in Multiclass Scatterplots,Yes,Hybrid
"Bujack, R., Turton, T.L., Rogers, D.H. and Ahrens, J.P., 2018, October. Ordering Perceptions about Perceptual Order. In 2018 IEEE Scientific Visualization Conference (SciVis) (pp. 32-36). IEEE.",https://ieeexplore.ieee.org/abstract/document/8823772/,Ordering Perceptions about Perceptual Order,Yes,Theory
"Johansson, J., Forsell, C., Lind, M. and Cooper, M., 2008. Perceiving patterns in parallel coordinates: determining thresholds for identification of relationships. Information Visualization, 7(2), pp.152-162.",https://journals.sagepub.com/doi/abs/10.1057/palgrave.ivs.9500166?casa_token=wDBAegRq3HEAAAAA:h1gDx7cEk7zxtEvzNLA_sPdOXqD6W_g-AnEX6hK4Rfv8FyEqZxSGsg8JGGjkCw9iAkCe7SKxlCVFNw,Perceiving Patterns in Parallel Coordinates: Determining Thresholds for Identification of Relationships,No,
"Gleicher, M., Correll, M., Nothelfer, C. and Franconeri, S., 2013. Perception of average value in multiclass scatterplots. IEEE transactions on visualization and computer graphics, 19(12), pp.2316-2325.",https://ieeexplore.ieee.org/abstract/document/6634120/,Perception of average value in multiclass scatterplots,Yes,Experiment
"Godau, C., Vogelgesang, T. and Gaschler, R., 2016. Perception of bar graphs - A biased impression?. Computers in Human Behavior, 59, pp.67-73.",https://www.sciencedirect.com/science/article/pii/S0747563216300449,Perception of bar graphs - A biased impression?,Yes,Experiment
"Etemadpour, R., Motta, R., de Souza Paiva, J.G., Minghim, R., de Oliveira, M.C.F. and Linsen, L., 2014. Perception-based evaluation of projection methods for multidimensional data visualization. IEEE transactions on visualization and computer graphics, 21(1), pp.81-94.",https://ieeexplore.ieee.org/abstract/document/6832613/,Perception-based Evaluation of Projection Methods for Multidimensional Data Visualization,No,
"Alexander, E., Chang, C.C., Shimabukuro, M., Franconeri, S., Collins, C. and Gleicher, M., 2017. Perceptual biases in font size as a data encoding. IEEE transactions on visualization and computer graphics, 24(8), pp.2397-2410.",https://ieeexplore.ieee.org/abstract/document/7968319/,Perceptual Biases in Font Size as a Data Encoding,No,
"Kong, N., Heer, J. and Agrawala, M., 2010. Perceptual guidelines for creating rectangular treemaps. IEEE transactions on visualization and computer graphics, 16(6), pp.990-998.",https://ieeexplore.ieee.org/abstract/document/5613436/,Perceptual Guidelines for Creating Rectangular Treemaps,Yes,Experiment
"Mylavarapu, P., Yalcin, A., Gregg, X. and Elmqvist, N., 2019, May. Ranked-List Visualization: A Graphical Perception Study. In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3290605.3300422,Ranked-List Visualization: A Graphical Perception Study,Yes,Experiment
"Harrison, L., Yang, F., Franconeri, S. and Chang, R., 2014. Ranking visualizations of correlation using weber's law. IEEE transactions on visualization and computer graphics, 20(12), pp.1943-1952.",https://ieeexplore.ieee.org/abstract/document/6875978/,Ranking Visualizations of Correlation Using Weber's Law,Yes,Experiment
"Skau, D. and Kosara, R., 2017, June. Readability and precision in pictorial bar charts. In Proceedings of the Eurographics/IEEE VGTC Conference on Visualization: Short Papers (pp. 91-95). Eurographics Association.",https://dl.acm.org/citation.cfm?id=3308587,Readability and Precision in Pictorial Bar Charts,Yes,Experiment
"Zacks, J., Levy, E., Tversky, B. and Schiano, D.J., 1998. Reading bar graphs: Effects of extraneous depth cues and graphical context. Journal of experimental psychology: Applied, 4(2), p.119.",https://psycnet.apa.org/record/1998-02319-003,Reading bar graphs: Effects of extraneous depth cues and graphical context,No,
"Correll, M. and Heer, J., 2017, May. Regression by eye: Estimating trends in bivariate visualizations. In Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems (pp. 1387-1396).",https://dl.acm.org/doi/abs/10.1145/3025453.3025922,Regression by Eye: Estimating Trends in Bivariate Visualizations,Yes,Experiment
"Ma, Y., Tung, A.K., Wang, W., Gao, X., Pan, Z. and Chen, W., 2018. Scatternet: A deep subjective similarity model for visual analysis of scatterplots. IEEE transactions on visualization and computer graphics.",https://ieeexplore.ieee.org/abstract/document/8490694/,ScatterNet: A Deep Subjective Similarity Model for Visual Analysis of Scatterplots,No,
"Sarikaya, A. and Gleicher, M., 2017. Scatterplots: Tasks, data, and designs. IEEE transactions on visualization and computer graphics, 24(1), pp.402-412.",https://ieeexplore.ieee.org/abstract/document/8017602/,"Scatterplots: Tasks, Data, and Designs                                                                                                                                                                                                        ",Yes,Theory
"Hoque, E. and Agrawala, M., 2019. Searching the Visual Style and Structure of D3 Visualizations. IEEE transactions on visualization and computer graphics, 26(1), pp.1236-1245.",https://ieeexplore.ieee.org/abstract/document/8809832/,Searching the Visual Style and Structure of D3 Visualizations,No,
"Lin, S., Fortuna, J., Kulkarni, C., Stone, M. and Heer, J., 2013, June. Selecting semantically-resonant colors for data visualization. In Computer Graphics Forum (Vol. 32, No. 3pt4, pp. 401-410). Oxford, UK: Blackwell Publishing Ltd.",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.12127?casa_token=DQoDf0EAfmoAAAAA:hUzHU4UhTiSOIhX6tFaF47ElFeqAjQji6A7sIst65MnSyAwZoMZ8YtOMU8rxa3VvCsUAtMCnhndbA6mG,Selecting semantically-resonant colors for data visualization,Yes,Hybrid
"Dasgupta, A., Wang, H., O'Brien, N. and Burrows, S., 2019. Separating the wheat from the chaff: Comparative visual cues for transparent diagnostics of competing models. IEEE transactions on visualization and computer graphics, 26(1), pp.1043-1053.",https://ieeexplore.ieee.org/abstract/document/8812989/,Separating the wheat from the chaff: Comparative visual cues for reliable diagnostics of competing models,No,
"Mackinlay, J., Hanrahan, P. and Stolte, C., 2007. Show me: Automatic presentation for visual analysis. IEEE transactions on visualization and computer graphics, 13(6), pp.1137-1144.",https://ieeexplore.ieee.org/abstract/document/4376133/,Showme: Automatic presentation for visual analysis,No,
"Heer, J., Kong, N. and Agrawala, M., 2009, April. Sizing the horizon: the effects of chart size and layering on the graphical perception of time series visualizations. In Proceedings of the SIGCHI conference on human factors in computing systems (pp. 1303-1312).",https://dl.acm.org/doi/abs/10.1145/1518701.1518897,"Sizing the Horizon: The Effects of Chart Size and Layering
on the Graphical Perception of Time Series Visualizations",No,
"Matute, J., Telea, A.C. and Linsen, L., 2017. Skeleton-based scagnostics. IEEE transactions on visualization and computer graphics, 24(1), pp.542-552.",https://ieeexplore.ieee.org/abstract/document/8017649/,Skeleton-based Scagnostics,Yes,Hybrid
"Liu, Y. and Heer, J., 2018, April. Somewhere over the rainbow: An empirical assessment of quantitative colormaps. In Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3173574.3174172,Somewhere Over the Rainbow: An Empirical Assessment of Quantitative Colormaps,Yes,Experiment
"Saket, B., Endert, A. and Demiralp, Ç., 2018. Task-based effectiveness of basic visualizations. IEEE transactions on visualization and computer graphics, 25(7), pp.2505-2512.",https://ieeexplore.ieee.org/abstract/document/8354901/,Task-Based Effectiveness of Basic Visualizations,Yes,Experiment
"Albers, D., Correll, M. and Gleicher, M., 2014, April. Task-driven evaluation of aggregation in time series visualization. In Proceedings of the SIGCHI Conference on Human Factors in Computing Systems (pp. 551-560).",https://dl.acm.org/doi/abs/10.1145/2556288.2557200,Task-driven Evaluation of Aggregation in Time Series Visualization,Yes,Experiment
"Spence, I., 2004. The apparent and effective dimensionality of representations of objects. Human factors, 46(4), pp.738-747.",https://journals.sagepub.com/doi/abs/10.1518/hfes.46.4.738.56809?casa_token=tCO4XiAxlHMAAAAA:EXj4ShjRHkw_C6F3Fc1xax6Mb-2PTtzktuQpObiN0qaJxY-r9yhcqURwGrVMSacD1rWQdL5_WxuwYg,The Apparent and Effective Dimensionality of Representations of Objects,No,
"Bartram, L., Cheung, B. and Stone, M., 2011. The effect of colour and transparency on the perception of overlaid grids. IEEE Transactions on Visualization and Computer Graphics, 17(12), pp.1942-1948.",https://ieeexplore.ieee.org/abstract/document/6064957/,The Effect of Colour and Transparency on the Perception of Overlaid Grids,No,
"Liu, X. and Shen, H.W., 2015, April. The effects of representation and juxtaposition on graphical perception of matrix visualization. In Proceedings of the 33rd annual ACM conference on Human factors in computing systems (pp. 269-278).",https://dl.acm.org/doi/abs/10.1145/2702123.2702217,The Effects of Representation and Juxtaposition on Graphical Perception of Matrix Visualization,No,
"Bujack, R., Turton, T.L., Samsel, F., Ware, C., Rogers, D.H. and Ahrens, J., 2017. The good, the bad, and the ugly: A theoretical framework for the assessment of continuous colormaps. IEEE transactions on visualization and computer graphics, 24(1), pp.923-933.",https://ieeexplore.ieee.org/abstract/document/8017653/,"The Good, the Bad, and the Ugly: A Theoretical Framework for the Assessment of Continuous Colormaps",Yes,Theory
"Kosara, R., 2019. The Impact of Distribution and Chart Type on Part-to-Whole Comparisons. In 21st Eurographics Conference on Visualization, EuroVis 2019-Short Papers.",https://diglib.eg.org/bitstream/handle/10.2312/evs20191162/007-011.pdf?sequence=1&isAllowed=y,The Impact of Distribution and Chart Type on Part-to-Whole Comparisons,Yes,Experiment
"Rensink, R. A., & Baldridge, G. (2010, June). The perception of correlation in scatterplots. In Computer Graphics Forum (Vol. 29, No. 3, pp. 1203-1210). Oxford, UK: Blackwell Publishing Ltd.",https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8659.2009.01694.x,The Perception of Correlation in Scatterplots,Yes,Hybrid
"Soni, U., Lu, Y., Hansen, B., Purchase, H.C., Kobourov, S. and Maciejewski, R., 2018, June. The perception of graph properties in graph layouts. In Computer Graphics Forum (Vol. 37, No. 3, pp. 169-181).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13410?casa_token=FSu5HhRRsnQAAAAA:IpMlfRHDd-Fr4aihO-fLI7V7VaoF5k1nzn_kk7TQWpGdW2YzGW4Mz2jZDxFydEcgUiBJc7VrvUYwGQbf,The Perception of Graph Properties in Graph Layouts,No,
"Doherty, M.E., Anderson, R.B., Angott, A.M. and Klopfer, D.S., 2007. The perception of scatterplots. Perception & Psychophysics, 69(7), pp.1261-1272.",https://link.springer.com/article/10.3758/BF03193961,The perception of scatterplots,Yes,Experiment
"Jardine, N., Ondov, B.D., Elmqvist, N. and Franconeri, S., 2019. The Perceptual Proxies of Visual Comparison. IEEE transactions on visualization and computer graphics, 26(1), pp.1012-1021.",https://ieeexplore.ieee.org/abstract/document/8807320/,The Perceptual Proxies of Visual Comparison,No,
"Gramazio, C.C., Schloss, K.B. and Laidlaw, D.H., 2014. The relation between visualization size, grouping, and user performance. IEEE transactions on visualization and computer graphics, 20(12), pp.1953-1962.",https://ieeexplore.ieee.org/abstract/document/6875989/,"The relation between visualization size, grouping, and user performance",Yes,Experiment
"Walker, J., Borgo, R. and Jones, M.W., 2015. TimeNotes: a study on effective chart visualization and interaction techniques for time-series data. IEEE transactions on visualization and computer graphics, 22(1), pp.549-558.",https://ieeexplore.ieee.org/abstract/document/7192735/,TimeNotes: A Study on Effective Chart Visualization and Interaction Techniques for Time-Series Data,No,
"Ware, C., 2008. Toward a perceptual theory of flow visualization. IEEE Computer Graphics and Applications, 28(2), pp.6-11.",https://ieeexplore.ieee.org/abstract/document/4459858/,Toward a Perceptual Theory of Flow Visualization,No,
"Aupetit, M., Sedlmair, M., Abbas, M.M., Baggag, A. and Bensmail, H., 2019, October. Toward Perception-Based Evaluation of Clustering Techniques for Visual Analytics. In 2019 IEEE Visualization Conference (VIS) (pp. 141-145). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933620/,Toward Perception-Based Evaluation of Clustering Techniques for Visual Analytics,No,
"L'Yi, S., Chang, Y., Shin, D. and Seo, J., 2019, June. Toward Understanding Representation Methods in Visualization Recommendations through Scatterplot Construction Tasks. In Computer Graphics Forum (Vol. 38, No. 3, pp. 201-211).",https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13682?casa_token=wK0T59tUM1MAAAAA:WQSzpotbYM-RrH1QkdO-mwXBhgY7EPlwJGitLFGqoFFX4g8kDTQbVE-RQRUGnnZ3fkyM2GLuqL2K_4nI,Toward Understanding Representation Methods in Visualization Recommendations through Scatterplot Construction Tasks,No,
"Weng, D., Chen, R., Deng, Z., Wu, F., Chen, J. and Wu, Y., 2018. Srvis: Towards better spatial integration in ranking visualization. IEEE transactions on visualization and computer graphics, 25(1), pp.459-469.",https://ieeexplore.ieee.org/abstract/document/8456575/,Towards Better Spatial Integration in Ranking Visualization,No,
"Micallef, L., Palmas, G., Oulasvirta, A. and Weinkauf, T., 2017. Towards perceptual optimization of the visual design of scatterplots. IEEE transactions on visualization and computer graphics, 23(6), pp.1588-1599.",https://ieeexplore.ieee.org/abstract/document/7864468/,Towards Perceptual Optimization of the Visual Design of Scatterplots,Yes,Hybrid
"Pandey, A.V., Krause, J., Felix, C., Boy, J. and Bertini, E., 2016, May. Towards understanding human similarity perception in the analysis of large sets of scatter plots. In Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems (pp. 3659-3669).",https://dl.acm.org/doi/abs/10.1145/2858036.2858155,Towards Understanding Human Similarity Perception in the Analysis of Large Sets of Scatter Plots,Yes,Hybrid
"Kuang, X., Zhang, H., Zhao, S. and McGuffin, M.J., 2012, June. Tracing tuples across dimensions: A comparison of scatterplots and parallel coordinate plots. In Computer Graphics Forum (Vol. 31, No. 3pt4, pp. 1365-1374). Oxford, UK: Blackwell Publishing Ltd.",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8659.2012.03129.x?casa_token=saxznSaRktUAAAAA:SKIaK-91X-n3VKY1mCyENxzVUZQexSaI0vf7Hvliud0eyGRd-cW_dFRfQQyhO6l2glkb-aQA9VFBBKCU,Tracing Tuples Across Dimensions: A Comparison of Scatterplots and Parallel Coordinate Plots,No,
"Correll, M., Bertini, E. and Franconeri, S., 2019. Truncating the Y-Axis: Threat or Menace?. arXiv preprint arXiv:1907.02035.",https://arxiv.org/abs/1907.02035,Truncating the Y-Axis: Threat or Menace?,Yes,Experiment
"Strahan, R.F. and Hansen, C.J., 1978. Underestimating correlation from scatterplots. Applied Psychological Measurement, 2(4), pp.543-550.",https://journals.sagepub.com/doi/abs/10.1177/014662167800200409,Underestimating Correlation from Scatterplots,Yes,Experiment
"Kobsa, A., 2004, October. User experiments with tree visualization systems. In IEEE Symposium on Information Visualization (pp. 9-16). IEEE.",https://ieeexplore.ieee.org/abstract/document/1382885/,User Experiments with Tree Visualization Systems,No,
"Spence, I., Kutlesa, N. and Rose, D.L., 1999. Using color to code quantity in spatial displays. Journal of Experimental Psychology: Applied, 5(4), p.393.",https://psycnet.apa.org/journals/xap/5/4/393/,Using color to code quantity in spatial displays,No,
"Blascheck, T., John, M., Kurzhals, K., Koch, S. and Ertl, T., 2015. VA 2: a visual analytics approach for evaluating visual analytics applications. IEEE transactions on visualization and computer graphics, 22(1), pp.61-70.",https://ieeexplore.ieee.org/abstract/document/7192649/,VA2: A Visual Analytics Approach for Evaluating Visual Analytics Applications,No,
"Stasko, J., 2014, November. Value-driven evaluation of visualizations. In Proceedings of the Fifth Workshop on Beyond Time and Errors: Novel Evaluation Methods for Visualization (pp. 46-53).",https://dl.acm.org/doi/abs/10.1145/2669557.2669579,Value-Driven Evaluation of Visualizations,No,
"Satyanarayan, A., Moritz, D., Wongsuphasawat, K. and Heer, J., 2016. Vega-lite: A grammar of interactive graphics. IEEE transactions on visualization and computer graphics, 23(1), pp.341-350.",https://ieeexplore.ieee.org/abstract/document/7539624/,Vega-Lite: A Grammar of Interactive Graphics,No,
"Arbesser, C., Spechtenhauser, F., Muhlbacher, T. and Piringer, H., 2016. Visplause: Visual data quality assessment of many time series using plausibility checks. IEEE transactions on visualization and computer graphics, 23(1), pp.641-650.",https://ieeexplore.ieee.org/abstract/document/7536111/,Visplause: Visual Data Quality Assessment of Many Time Series Using Plausibility Checks,No,
"Badam, S.K., Mathisen, A., Radle, R., Klokmose, C.N. and Elmqvist, N., 2018. Vistrates: A component model for ubiquitous analytics. IEEE transactions on visualization and computer graphics, 25(1), pp.586-596.",https://ieeexplore.ieee.org/abstract/document/8440803/,Vistrates: A Component Model for Ubiquitous Analytics,No,
"Redmond, S., 2019, October. Visual cues in estimation of part-to-whole comparisons. In 2019 IEEE Visualization Conference (VIS) (pp. 1-5). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933718/,Visual cues in estimation of part-to-whole comparison,Yes,Experiment
"Siirtola, H., Laivo, T., Heimonen, T. and Raiha, K.J., 2009, July. Visual perception of parallel coordinate visualizations. In 2009 13th International Conference Information Visualisation (pp. 3-9). IEEE.",https://ieeexplore.ieee.org/abstract/document/5190777/,Visual Perception of Parallel Coordinate ,No,
"Fu, X., Wang, Y., Dong, H., Cui, W. and Zhang, H., 2019, October. Visualization Assessment: A Machine Learning Approach. In 2019 IEEE Visualization Conference (VIS) (pp. 126-130). IEEE.",https://ieeexplore.ieee.org/abstract/document/8933570/,Visualization Assessment: A Machine Learning Approach,No,
"Brehmer, M., Lee, B., Isenberg, P., & Choe, E. K. (2018). Visualizing ranges over time on mobile phones: a task-based crowdsourced evaluation. IEEE transactions on visualization and computer graphics, 25(1), 619-629.",https://ieeexplore.ieee.org/document/8440812,Visualizing Ranges over Time on Mobile Phones: A Task-based Crowdsourced Evaluation,No,
"Hu, K., Bakker, M.A., Li, S., Kraska, T. and Hidalgo, C., 2019, May. Vizml: A machine learning approach to visualization recommendation. In Proceedings of the 2019 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3290605.3300358,VizML: A Machine Learning Approach to Visualization Recommendation,No,
"Wongsuphasawat, K., Qu, Z., Moritz, D., Chang, R., Ouk, F., Anand, A., Mackinlay, J., Howe, B. and Heer, J., 2017, May. Voyager 2: Augmenting visual analysis with partial view specifications. In Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems (pp. 2648-2659).",https://dl.acm.org/doi/abs/10.1145/3025453.3025768,Voyager 2: Augmenting Visual Analysis with Partial View Specifications,No,
"Wongsuphasawat, K., Moritz, D., Anand, A., Mackinlay, J., Howe, B. and Heer, J., 2015. Voyager: Exploratory analysis via faceted browsing of visualization recommendations. IEEE transactions on visualization and computer graphics, 22(1), pp.649-658.",https://ieeexplore.ieee.org/abstract/document/7192728/,Voyager: Exploratory Analysis via Faceted Browsing of Visualization Recommendations,No,
"Srinivasan, A., Brehmer, M., Lee, B. and Drucker, S.M., 2018, April. What's the Difference? Evaluating Variations of Multi-Series Bar Charts for Visual Comparison Tasks. In Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems (pp. 1-12).",https://dl.acm.org/doi/abs/10.1145/3173574.3173878,What's the Difference?: Evaluating Variations of Multi-Series Bar Charts for Visual Comparison Tasks,Yes,Experiment
